CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,acceso_bomberos_km,intersecciones_km2,densidad_vial,tipo_vial_pct,poblacion_total,densidad_pob,viviendas,riesgo_base,ocurrio_incendio,ia_probabilidad_incendio,riesgo_pob_vial,aislamiento_tactico,total_incendios
0803700018360002,8,37,1,8360,2,Urbana,Típica,15.08,0.0,0.0,0.0,0.0,0.0,58,ALTO,0,0.13978040070621522,0.0,1508.0,0
0803700018360003,8,37,1,8360,3,Urbana,Típica,15.28,0.0,0.0,0.0,0.0,0.0,19,ALTO,0,0.13978040070621522,0.0,1528.0,0
0803700018394001,8,37,1,8394,1,Urbana,Típica,8.31,0.0,0.0,0.0,2.0,2.0,15,ALTO,0,0.1480180770600211,0.0,831.0,0
0803700018407015,8,37,1,8407,15,Urbana,Típica,8.11,158.02,0.0,0.0,112.0,112.0,13,ALTO,0,0.14717194173961975,0.0,810.9999999999999,0
0803700018445001,8,37,1,8445,1,Urbana,Típica,7.53,0.0,0.0,0.0,6.0,6.0,11,ALTO,0,0.2385937765682778,0.0,753.0,0
0803700018445002,8,37,1,8445,2,Urbana,Típica,7.59,0.0,0.0,0.0,0.0,0.0,3,ALTO,0,0.18483065405352397,0.0,759.0,0
0803706133092054,8,37,613,3092,54,Rural,Típica,9.85,45.96,6.74,0.0,0.0,0.0,25,MEDIO,0,0.36917503674340346,0.0,1.4592592592592593,0
0803706133092065,8,37,613,3092,65,Rural,Típica,11.28,0.0,0.0,0.0,0.0,0.0,11,MEDIO,0,0.13978040070621522,0.0,1128.0,0
0803706133092081,8,37,613,3092,81,Rural,Típica,10.84,0.0,0.0,0.0,7.0,7.0,21,MEDIO,0,0.19536433246952384,0.0,1084.0,0
0803706133092101,8,37,613,3092,101,Rural,Típica,10.31,0.0,0.0,0.0,20.0,20.0,10,MEDIO,0,0.20185190370301395,0.0,1031.0,0
